Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
214,Danny Ings\07802f7f,eng ENG,FW,Southampton,28,1992,24.1,1,0,0,27,22,20,24,7,13,0,1,0,109,21,62,25.3,Matches
215,Branislav Ivanović\85f8571a,rs SRB,DF,West Brom,36,1984,8.5,2,0,0,13,4,1,0,3,5,0,0,0,84,19,13,59.4,Matches
216,Alex Iwobi\6ca5ec4b,ng NGA,FWDF,Everton,24,1996,17.1,0,0,0,15,19,0,52,18,21,0,0,0,118,4,8,33.3,Matches
217,José Izquierdo\ca2bc3df,co COL,DF,Brighton,28,1992,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
218,Phil Jagielka\3233eefd,eng ENG,DF,Sheffield Utd,37,1982,5.8,1,1,0,8,1,0,1,12,4,0,0,1,45,15,10,60.0,Matches
219,Alireza Jahanbakhsh\08452314,ir IRN,FWMF,Brighton,26,1993,5.9,3,0,0,11,5,0,28,7,5,0,0,0,41,4,13,23.5,Matches
220,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,22,1997,10.1,3,0,0,15,22,4,18,10,9,0,0,0,59,6,13,31.6,Matches
221,Reece James\1265a93a,eng ENG,DF,Chelsea,20,1999,26.4,3,0,0,36,21,1,100,41,36,0,1,0,216,36,28,56.3,Matches
222,Alexandre Jankewitz\7c39363f,ch SUI,MF,Southampton,18,2001,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
223,Daniel Jebbison\03edb878,eng ENG,FW,Sheffield Utd,17,2003,3.2,0,0,0,8,4,1,1,3,0,0,0,0,16,5,21,19.2,Matches
224,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,23,1997,22.9,2,0,0,33,51,17,10,19,13,1,1,0,103,14,62,18.4,Matches
225,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,29,1991,9.1,0,0,0,9,19,4,3,6,4,0,0,1,45,17,19,47.2,Matches
226,Joelinton\c17bfb65,br BRA,FWMF,Newcastle Utd,23,1996,22.0,3,0,0,35,43,6,14,20,26,1,0,0,135,98,115,46.0,Matches
227,Ben Johnson\9319781b,eng ENG,DF,West Ham,20,2000,5.8,1,0,0,7,3,0,14,11,3,0,0,0,44,5,6,45.5,Matches
228,Sam Johnstone\9e5708be,eng ENG,GK,West Brom,27,1993,37.0,1,0,0,1,5,0,0,0,0,0,1,0,195,0,0,,Matches
229,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,19,2001,13.1,2,0,0,19,18,1,7,17,16,0,0,0,121,12,21,36.4,Matches
230,Jorginho\45db685d,it ITA,MF,Chelsea,28,1991,22.3,2,0,0,40,36,0,1,51,38,0,1,0,221,16,17,48.5,Matches
231,Willian José\d87e2cae,br BRA,FW,Wolves,28,1991,12.3,0,0,0,9,13,2,7,7,2,1,0,0,55,22,30,42.3,Matches
232,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,23,1996,12.4,2,0,0,29,22,1,16,8,10,0,0,0,76,14,38,26.9,Matches
233,James Justin\fb614c44,eng ENG,DF,Leicester City,22,1998,23.0,4,0,0,18,40,3,48,25,28,2,0,0,201,28,44,38.9,Matches
234,Ozan Kabak\2d61d13a,tr TUR,DF,Liverpool,20,2000,8.9,3,0,0,13,5,0,0,12,10,0,0,0,83,28,22,56.0,Matches
235,Aboubakar Kamara\4047c976,mr MTN,FWDF,Fulham,25,1995,3.5,1,1,0,10,3,0,12,2,2,0,1,0,25,8,7,53.3,Matches
236,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,27,1993,34.2,1,0,0,28,70,12,37,15,12,2,0,0,155,90,129,41.1,Matches
237,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,29,1991,23.8,7,0,0,50,12,0,8,62,57,0,0,0,284,19,31,38.0,Matches
238,Moise Kean\3d50bcdb,it ITA,FW,Everton,20,2000,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
239,Michael Keane\c5b7c315,eng ENG,DF,Everton,27,1993,33.2,4,0,0,20,9,0,0,43,15,0,0,0,272,125,47,72.7,Matches
240,Neeskens Kebano\18b999f4,cd COD,FWMF,Fulham,28,1992,1.3,0,0,0,3,2,1,4,0,1,0,0,0,7,0,1,0.0,Matches
241,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,25,1995,5.8,1,0,0,17,6,0,4,12,5,0,0,0,56,5,8,38.5,Matches
242,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,21,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
243,Martin Kelly\d7492450,eng ENG,DF,Crystal Palace,30,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
244,Jonjoe Kenny\099e666f,eng ENG,DFFW,Everton,23,1997,0.9,0,0,0,0,0,1,3,1,0,0,0,0,8,0,0,,Matches
245,Reda Khadra\88acf83f,de GER,FW,Brighton,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
246,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,23,1997,14.6,4,0,0,21,5,1,0,18,20,0,1,0,100,23,23,50.0,Matches
247,Joshua King\43458538,no NOR,MFFW,Everton,28,1992,1.6,0,0,0,4,2,3,1,1,1,0,0,0,12,4,6,40.0,Matches
248,Mateusz Klich\282679b4,pl POL,MF,Leeds United,30,1990,26.6,6,0,0,50,24,5,37,17,43,0,1,0,267,17,21,44.7,Matches
249,Robin Koch\ea6bc03a,de GER,DFMF,Leeds United,24,1996,12.6,1,0,0,25,8,0,1,13,18,0,2,0,159,40,25,61.5,Matches
250,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,27,1993,1.0,0,0,0,1,2,0,0,0,0,0,0,0,12,1,1,50.0,Matches
251,Terence Kongolo\1f9a3a04,nl NED,DF,Fulham,26,1994,1.0,0,0,0,1,1,0,1,0,4,0,0,0,8,2,3,40.0,Matches
